Seq,Form,Time_UTC,Run_ID,NAVAREA,Warning_ID,Type,PSN_Lat,PSN_Lon,Dist_NM,Band,Plotted,Source_Kind,Source_URL,Status,Notes
1,NS-01,2026-03-20T23:09:29Z,20260320_230929Z,IV,NAVAREA IV 20260320_230929Z,LINE,10.365667,-60.604667,79.7,AMBER,YES,MANUAL,,OK,
2,NS-01,2026-03-20T23:10:08Z,20260320_231008Z,IV,NAVAREA IV 20260320_231008Z,AREA,21.600000,-85.975000,39.2,RED,YES,MANUAL,,OK,
3,NS-01,2026-03-20T23:11:00Z,20260320_231100Z,IV,NAVAREA IV 20260320_231100Z,POINT,27.173333,-90.366667,95.8,AMBER,YES,MANUAL,,OK,
4,NS-01,2026-03-20T23:11:31Z,20260320_231131Z,IV,NAVAREA IV 20260320_231131Z,POINT,27.173333,-90.366667,80.2,AMBER,YES,MANUAL,,OK,
5,NS-01,2026-03-20T23:22:49Z,20260320_232249Z,IV,NAVAREA IV 219/26(GEN).,LINE,46.666667,-53.166667,1533.2,AMBER,YES,MANUAL,,OK,
6,NS-01,2026-03-20T23:22:49Z,20260320_232249Z,IV,"NAVAREA IV 218/26(27,28).",LINE,21.600000,-85.975000,39.2,RED,YES,MANUAL,,OK,
7,NS-01,2026-03-20T23:22:49Z,20260320_232249Z,IV,"NAVAREA IV 217/26(11,26).",AREA,31.950000,-77.016667,479.5,AMBER,YES,MANUAL,,OK,
8,NS-01,2026-03-20T23:22:49Z,20260320_232249Z,IV,"NAVAREA IV 215/26(11,26).",AREA,31.950000,-77.016667,479.5,AMBER,YES,MANUAL,,OK,
9,NS-01,2026-03-20T23:22:49Z,20260320_232249Z,IV,NAVAREA IV 213/26(25).,POINT,14.583333,-61.789333,179.4,AMBER,YES,MANUAL,,OK,
10,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,"NAVAREA IV 207/26(11,26).",AREA,29.016667,-75.000000,480.9,AMBER,YES,MANUAL,,OK,
11,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,NAVAREA IV 204/26(GEN).,POINT,27.173333,-90.366667,95.8,AMBER,YES,MANUAL,,OK,
12,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,NAVAREA IV 189/26(24).,LINE,10.365667,-60.604667,79.7,AMBER,YES,MANUAL,,OK,
13,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,NAVAREA IV 180/26(28).,AREA,15.785667,-88.604333,378.1,AMBER,YES,MANUAL,,OK,
14,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,NAVAREA IV 167/26(11).,AREA,27.402333,-92.096833,22.8,RED,YES,MANUAL,,OK,
15,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,NAVAREA IV 161/26(24).,POINT,10.812000,-61.364333,58.8,AMBER,YES,MANUAL,,OK,
16,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,NAVAREA IV 158/26(26).,AREA,15.796667,-79.848333,175.0,AMBER,YES,MANUAL,,OK,
17,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,NAVAREA IV 153/26(24).,LINE,11.422500,-58.640667,109.1,AMBER,YES,MANUAL,,OK,
18,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 133/26(26).,LINE,16.469667,-75.608167,110.7,AMBER,YES,MANUAL,,OK,
19,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 127/26(GEN).,LINE,41.700000,-70.500000,184.2,AMBER,YES,MANUAL,,OK,
20,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 113/26(26).,POINT,9.381667,-79.898333,503.2,AMBER,YES,MANUAL,,OK,
21,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 99/26(24).,AREA,7.050000,-59.960000,258.0,AMBER,YES,MANUAL,,OK,
22,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 98/26(24).,AREA,8.000000,-57.165000,168.0,AMBER,YES,MANUAL,,OK,
23,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 79/26(24).,POINT,10.087833,-61.279500,99.2,AMBER,YES,MANUAL,,OK,
24,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 55/26(26).,POINT,20.720000,-75.319167,230.1,AMBER,YES,MANUAL,,OK,
25,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 53/26(28).,POINT,25.237333,-97.128667,278.4,AMBER,YES,MANUAL,,OK,
26,NS-01,2026-03-20T23:22:52Z,20260320_232252Z,IV,NAVAREA IV 27/26(24).,POINT,11.177000,-60.727000,33.5,RED,YES,MANUAL,,OK,
27,NS-01,2026-03-20T23:22:52Z,20260320_232252Z,IV,NAVAREA IV 19/26(24).,POINT,10.049500,-61.927833,93.1,AMBER,YES,MANUAL,,OK,
28,NS-01,2026-03-20T23:22:52Z,20260320_232252Z,IV,NAVAREA IV 16/26(11).,AREA,27.889333,-95.683000,50.0,RED,YES,MANUAL,,OK,
29,NS-01,2026-03-20T23:22:52Z,20260320_232252Z,IV,NAVAREA IV 7/26(24).,AREA,8.011000,-56.743000,178.6,AMBER,YES,MANUAL,,OK,
30,NS-01,2026-03-20T23:22:52Z,20260320_232252Z,IV,NAVAREA IV 1431/25(24).,AREA,8.162167,-57.162167,153.9,AMBER,YES,MANUAL,,OK,
31,NS-01,2026-03-20T23:22:52Z,20260320_232252Z,IV,NAVAREA IV 1430/25(24).,AREA,8.266000,-57.037167,194.6,AMBER,YES,MANUAL,,OK,
32,NS-01,2026-03-20T23:22:53Z,20260320_232253Z,IV,NAVAREA IV 1413/25(24).,POINT,6.965500,-57.809000,250.2,AMBER,YES,MANUAL,,OK,
33,NS-01,2026-03-20T23:22:53Z,20260320_232253Z,IV,NAVAREA IV 1404/25(24).,POINT,10.058833,-61.625833,94.6,AMBER,YES,MANUAL,,OK,
34,NS-01,2026-03-20T23:22:53Z,20260320_232253Z,IV,NAVAREA IV 1391/25(24).,POINT,11.221833,-68.438000,291.8,AMBER,YES,MANUAL,,OK,
35,NS-01,2026-03-20T23:22:53Z,20260320_232253Z,IV,NAVAREA IV 1292/25(15).,LINE,61.548667,-59.386333,2287.6,AMBER,YES,MANUAL,,OK,
36,NS-01,2026-03-20T23:22:53Z,20260320_232253Z,IV,NAVAREA IV 1282/25(25).,POINT,16.333333,-61.005500,279.6,AMBER,YES,MANUAL,,OK,
37,NS-01,2026-03-20T23:22:53Z,20260320_232253Z,IV,NAVAREA IV 1175/25(24).,POINT,11.043167,-64.377167,146.4,AMBER,YES,MANUAL,,OK,
38,NS-01,2026-03-20T23:22:54Z,20260320_232254Z,IV,NAVAREA IV 1174/25(24).,POINT,11.502500,-69.555667,243.0,AMBER,YES,MANUAL,,OK,
39,NS-01,2026-03-20T23:22:54Z,20260320_232254Z,IV,NAVAREA IV 1170/25(15).,AREA,58.816667,-68.316833,2001.6,AMBER,YES,MANUAL,,OK,
40,NS-01,2026-03-20T23:22:54Z,20260320_232254Z,IV,NAVAREA IV 1158/25(24).,POINT,10.223167,-64.703667,181.8,AMBER,YES,MANUAL,,OK,
41,NS-01,2026-03-20T23:22:54Z,20260320_232254Z,IV,NAVAREA IV 1114/25(24).,POINT,11.148333,-60.845000,38.0,RED,YES,MANUAL,,OK,
42,NS-01,2026-03-20T23:22:54Z,20260320_232254Z,IV,NAVAREA IV 1009/25(24).,POINT,10.138333,-60.991667,97.6,AMBER,YES,MANUAL,,OK,
43,NS-01,2026-03-20T23:22:54Z,20260320_232254Z,IV,NAVAREA IV 998/25(24).,POINT,10.471500,-61.563833,71.6,AMBER,YES,MANUAL,,OK,
44,NS-01,2026-03-20T23:22:55Z,20260320_232255Z,IV,NAVAREA IV 872/25(25).,LINE,1.319614,-69.275167,614.7,AMBER,YES,MANUAL,,OK,
45,NS-01,2026-03-20T23:22:55Z,20260320_232255Z,IV,NAVAREA IV 829/25(24).,POINT,10.696833,-61.754167,55.5,AMBER,YES,MANUAL,,OK,
46,NS-01,2026-03-20T23:22:55Z,20260320_232255Z,IV,NAVAREA IV 789/25(24).,POINT,10.604167,-66.945167,299.9,AMBER,YES,MANUAL,,OK,
47,NS-01,2026-03-20T23:22:55Z,20260320_232255Z,IV,NAVAREA IV 761/25(24).,POINT,6.080167,-55.213667,130.0,AMBER,YES,MANUAL,,OK,
48,NS-01,2026-03-20T23:22:55Z,20260320_232255Z,IV,NAVAREA IV 693/25(28).,AREA,15.848333,-87.375000,243.8,AMBER,YES,MANUAL,,OK,
49,NS-01,2026-03-20T23:22:55Z,20260320_232255Z,IV,NAVAREA IV 671/25(24).,POINT,10.841333,-64.156333,137.3,AMBER,YES,MANUAL,,OK,
50,NS-01,2026-03-20T23:22:56Z,20260320_232256Z,IV,NAVAREA IV 667/25(25).,POINT,14.605333,-61.062333,177.2,AMBER,YES,MANUAL,,OK,
51,NS-01,2026-03-20T23:22:56Z,20260320_232256Z,IV,NAVAREA IV 663/25(26).,POINT,9.392000,-79.897833,502.6,AMBER,YES,MANUAL,,OK,
52,NS-01,2026-03-20T23:22:56Z,20260320_232256Z,IV,NAVAREA IV 650/25(26).,POINT,9.392000,-79.895833,502.6,AMBER,YES,MANUAL,,OK,
