Seq,Form,Time_UTC,Run_ID,NAVAREA,Warning_ID,Type,PSN_Lat,PSN_Lon,Dist_NM,Band,Plotted,Source_Kind,Source_URL,Status,Notes
1,NS-01,2026-03-11T01:51:09Z,20260311_015109Z,IV,NAVAREA IV 144/21,POINT,20.836667,-86.916667,93.3,AMBER,NO,MANUAL,,OK,
2,NS-01,2026-03-11T01:51:09Z,20260311_015109Z,IV,NAVAREA IV 277/21,POINT,18.212500,-94.133333,466.4,AMBER,NO,MANUAL,,OK,
3,NS-01,2026-03-11T01:51:09Z,20260311_015109Z,IV,NAVAREA IV 278/21,POINT,18.704722,-95.188333,478.6,AMBER,NO,MANUAL,,OK,
4,NS-01,2026-03-11T01:51:09Z,20260311_015109Z,IV,NAVAREA IV 778/21,POINT,20.973333,-97.308333,446.1,AMBER,NO,MANUAL,,OK,
5,NS-01,2026-03-11T01:51:09Z,20260311_015109Z,IV,NAVAREA IV 1003/21,POINT,15.925000,-87.603333,349.1,AMBER,NO,MANUAL,,OK,
6,NS-01,2026-03-11T01:51:09Z,20260311_015109Z,IV,NAVAREA IV 1157/21,POINT,20.062222,-72.967222,294.1,AMBER,NO,MANUAL,,OK,
7,NS-01,2026-03-11T01:51:09Z,20260311_015109Z,IV,NAVAREA IV 120/22,POINT,18.138333,-68.755000,237.3,AMBER,NO,MANUAL,,OK,
8,NS-01,2026-03-11T01:51:09Z,20260311_015109Z,IV,NAVAREA IV 141/22,POINT,16.108333,-88.266667,354.9,AMBER,NO,MANUAL,,OK,
9,NS-01,2026-03-11T01:51:10Z,20260311_015110Z,IV,NAVAREA IV 227/22,POINT,19.803333,-70.695000,284.2,AMBER,NO,MANUAL,,OK,
10,NS-01,2026-03-11T01:51:10Z,20260311_015110Z,IV,NAVAREA IV 367/22,POINT,19.785000,-87.463333,151.2,AMBER,NO,MANUAL,,OK,
11,NS-01,2026-03-11T01:51:10Z,20260311_015110Z,IV,NAVAREA IV 439/2022,POINT,21.526667,-86.805000,66.1,AMBER,NO,MANUAL,,OK,
