Seq,Form,Time_UTC,Run_ID,NAVAREA,Warning_ID,Type,PSN_Lat,PSN_Lon,Dist_NM,Band,Plotted,Source_Kind,Source_URL,Status,Notes
1,NS-01,2026-03-29T00:11:50Z,20260329_001150Z,IV,NAVAREA IV 1003/21(28).,POINT,15.925000,-87.603333,349.1,AMBER,YES,MANUAL,,OK,
2,NS-01,2026-03-29T01:19:36Z,20260329_011936Z,IV,"NAVAREA IV 217/26(11,26).",AREA,31.950000,-77.016667,479.5,AMBER,YES,MANUAL,,OK,
3,NS-01,2026-03-29T01:31:51Z,20260329_013151Z,IV,"NAVAREA IV 218/26(27,28).",LINE,21.600000,-85.975000,39.2,RED,YES,MANUAL,,OK,
4,NS-01,2026-03-29T01:33:08Z,20260329_013308Z,IV,"NAVAREA IV 218/26(27,28).",LINE,21.600000,-85.975000,39.2,RED,YES,MANUAL,,OK,
5,NS-01,2026-03-29T13:30:50Z,20260329_133050Z,IV,NAVAREA IV 144/2021,POINT,20.836667,-86.916667,93.3,AMBER,YES,MANUAL,,OK,
6,NS-01,2026-03-29T13:30:58Z,20260329_133058Z,IV,NAVAREA IV 144/2021,POINT,20.836667,-86.916667,93.3,AMBER,YES,MANUAL,,OK,
