Seq,Form,Time_UTC,Run_ID,NAVAREA,Warning_ID,Type,PSN_Lat,PSN_Lon,Dist_NM,Band,Plotted,Source_Kind,Source_URL,Status,Notes
1,NS-01,2026-03-13T01:20:17Z,20260313_012017Z,IV,NAVAREA IV 367/2022,POINT,19.785000,-87.463333,151.2,AMBER,NO,MANUAL,,OK,
2,NS-01,2026-03-13T01:59:25Z,20260313_015925Z,IV,NAVAREA IV 167/2026,AREA,27.402333,-92.096833,22.8,RED,NO,MANUAL,,OK,
3,NS-01,2026-03-13T12:39:11Z,20260313_123911Z,IV,NAVAREA IV 20260313_123911Z,LINE,10.365667,-60.604667,79.7,AMBER,NO,MANUAL,,OK,
4,NS-01,2026-03-13T17:48:05Z,20260313_174805Z,IV,NAVAREA IV 20260313_174805Z,LINE,10.365667,-60.604667,79.7,AMBER,NO,MANUAL,,OK,
5,NS-01,2026-03-13T23:17:32Z,20260313_231732Z,IV,NAVAREA IV 20260313_231732Z,POINT,10.365667,-60.604667,80.2,AMBER,NO,MANUAL,,OK,
