Seq,Form,Time_UTC,Run_ID,NAVAREA,Warning_ID,Type,PSN_Lat,PSN_Lon,Dist_NM,Band,Plotted,Source_Kind,Source_URL,Status,Notes
1,NS-01,2026-03-12T00:14:27Z,20260312_001427Z,IV,NAVAREA IV 20260312_001427Z,AREA,27.402333,-92.096833,22.8,RED,NO,MANUAL,,OK,
2,NS-01,2026-03-12T01:10:24Z,20260312_011024Z,IV,NAVAREA IV 144/2021,POINT,20.836667,-86.916667,93.3,AMBER,NO,MANUAL,,OK,
3,NS-01,2026-03-12T01:21:23Z,20260312_012123Z,IV,NAVAREA IV 1125/2024,POINT,16.210000,-88.503333,356.1,AMBER,NO,MANUAL,,OK,
4,NS-01,2026-03-12T01:22:24Z,20260312_012224Z,IV,NAVAREA IV 204/2026,POINT,19.383333,-92.051667,337.2,AMBER,NO,MANUAL,,OK,
5,NS-01,2026-03-12T01:34:48Z,20260312_013448Z,IV,NAVAREA IV 20260312_013448Z,POINT,12.323056,-92.051667,664.0,AMBER,NO,MANUAL,,OK,
