Seq,Form,Time_UTC,Run_ID,NAVAREA,Warning_ID,Type,PSN_Lat,PSN_Lon,Dist_NM,Band,Plotted,Source_Kind,Source_URL,Status,Notes
1,NS-01,2026-03-18T12:51:06Z,20260318_125106Z,IV,NAVAREA IV 20260318_125106Z,AREA,10.365667,-60.604667,79.7,AMBER,NO,MANUAL,,OK,
2,NS-01,2026-03-18T23:04:05Z,20260318_230405Z,IV,NAVAREA IV 20260318_230405Z,AREA,10.365667,-60.604667,79.7,AMBER,NO,MANUAL,,OK,
3,NS-01,2026-03-18T23:14:10Z,20260318_231410Z,IV,NAVAREA IV 20260318_231410Z,AREA,10.365667,-60.604667,79.7,AMBER,NO,MANUAL,,OK,
4,NS-01,2026-03-18T23:39:19Z,20260318_233919Z,IV,NAVAREA IV 20260318_233919Z,AREA,10.365667,-60.604667,79.7,AMBER,YES,MANUAL,,OK,
