Seq,Form,Time_UTC,Run_ID,NAVAREA,Warning_ID,Type,PSN_Lat,PSN_Lon,Dist_NM,Band,Plotted,Source_Kind,Source_URL,Status,Notes
1,NS-01,2026-03-23T00:06:57Z,20260323_000657Z,IV,NAVAREA IV 219/26(GEN).,LINE,46.666667,-53.166667,1533.2,AMBER,YES,MANUAL,,OK,
2,NS-01,2026-03-23T01:12:34Z,20260323_011234Z,IV,NAVAREA IV 219/26(GEN).,LINE,46.666667,-53.166667,1533.2,AMBER,NO,MANUAL,,OK,
3,NS-01,2026-03-23T01:13:09Z,20260323_011309Z,IV,NAVAREA IV 219/26(GEN).,LINE,46.666667,-53.166667,1533.2,AMBER,NO,MANUAL,,OK,
4,NS-01,2026-03-23T01:13:19Z,20260323_011319Z,IV,NAVAREA IV 219/26(GEN).,LINE,46.666667,-53.166667,1533.2,AMBER,NO,MANUAL,,OK,
5,NS-01,2026-03-23T01:17:51Z,20260323_011751Z,IV,NAVAREA IV 204/26(GEN).,POINT,12.323056,-92.051667,6.1,RED,NO,MANUAL,,OK,
6,NS-01,2026-03-23T01:18:35Z,20260323_011835Z,IV,NAVAREA IV 204/26(GEN).,POINT,12.323056,-92.051667,6.1,RED,NO,MANUAL,,OK,
7,NS-01,2026-03-23T01:27:03Z,20260323_012703Z,IV,NAVAREA IV 219/26(GEN).,LINE,46.666667,-53.166667,1559.0,AMBER,NO,MANUAL,,OK,
