LINE_AGGREGATE

20,49.600,N,086,55.642,W,1,3,2,
20,50.800,N,086,54.358,W,1,3,2,
20,50.800,N,086,55.642,W,1,3,2,
20,49.600,N,086,54.358,W,1,3,2,
END
LINE_AGGREGATE

18,12.150,N,094,08.632,W,1,3,2,
18,13.350,N,094,07.368,W,1,3,2,
18,13.350,N,094,08.632,W,1,3,2,
18,12.150,N,094,07.368,W,1,3,2,
END
LINE_AGGREGATE

18,41.683,N,095,11.933,W,1,3,2,
18,42.883,N,095,10.667,W,1,3,2,
18,42.883,N,095,11.933,W,1,3,2,
18,41.683,N,095,10.667,W,1,3,2,
END
LINE_AGGREGATE

20,57.800,N,097,19.143,W,1,3,2,
20,59.000,N,097,17.857,W,1,3,2,
20,59.000,N,097,19.143,W,1,3,2,
20,57.800,N,097,17.857,W,1,3,2,
END
LINE_AGGREGATE

15,54.900,N,087,36.824,W,1,3,2,
15,56.100,N,087,35.576,W,1,3,2,
15,56.100,N,087,36.824,W,1,3,2,
15,54.900,N,087,35.576,W,1,3,2,
END
LINE_AGGREGATE

20,03.133,N,072,58.672,W,1,3,2,
20,04.333,N,072,57.395,W,1,3,2,
20,04.333,N,072,58.672,W,1,3,2,
20,03.133,N,072,57.395,W,1,3,2,
END
LINE_AGGREGATE

20,03.133,N,072,58.672,W,1,3,2,
20,04.333,N,072,57.395,W,1,3,2,
20,04.333,N,072,58.672,W,1,3,2,
20,03.133,N,072,57.395,W,1,3,2,
END
LINE_AGGREGATE

16,05.900,N,088,16.625,W,1,3,2,
16,07.100,N,088,15.375,W,1,3,2,
16,07.100,N,088,16.625,W,1,3,2,
16,05.900,N,088,15.375,W,1,3,2,
END
LINE_AGGREGATE

19,47.600,N,070,42.338,W,1,3,2,
19,48.800,N,070,41.062,W,1,3,2,
19,48.800,N,070,42.338,W,1,3,2,
19,47.600,N,070,41.062,W,1,3,2,
END
LINE_AGGREGATE

19,46.500,N,087,28.438,W,1,3,2,
19,47.700,N,087,27.162,W,1,3,2,
19,47.700,N,087,28.438,W,1,3,2,
19,46.500,N,087,27.162,W,1,3,2,
END
LINE_AGGREGATE

21,31.000,N,086,48.945,W,1,3,2,
21,32.200,N,086,47.655,W,1,3,2,
21,32.200,N,086,48.945,W,1,3,2,
21,31.000,N,086,47.655,W,1,3,2,
END
LINE_AGGREGATE

17,43.900,N,077,10.130,W,1,3,9,
17,45.100,N,077,08.870,W,1,3,9,
17,45.100,N,077,10.130,W,1,3,9,
17,43.900,N,077,08.870,W,1,3,9,
END
LINE_AGGREGATE

11,58.800,N,068,39.213,W,1,3,2,
12,00.000,N,068,37.987,W,1,3,2,
12,00.000,N,068,39.213,W,1,3,2,
11,58.800,N,068,37.987,W,1,3,2,
END
LINE_AGGREGATE

18,13.600,N,063,04.150,W,1,3,2,
18,13.600,N,063,04.700,W,1,3,2,
18,13.200,N,063,04.700,W,1,3,2,
18,13.200,N,063,04.500,W,1,3,2,
18,13.600,N,063,04.150,W,1,3,2,
END
LINE_AGGREGATE

20,12.080,N,087,26.439,W,1,3,2,
20,13.280,N,087,25.161,W,1,3,2,
20,13.280,N,087,26.439,W,1,3,2,
20,12.080,N,087,25.161,W,1,3,2,
END
LINE_AGGREGATE

15,51.300,N,087,58.524,W,1,3,2,
15,52.500,N,087,57.276,W,1,3,2,
15,52.500,N,087,58.524,W,1,3,2,
15,51.300,N,087,57.276,W,1,3,2,
END
LINE_AGGREGATE

08,32.800,N,060,00.357,W,1,3,2,
08,34.000,N,059,59.143,W,1,3,2,
08,34.000,N,060,00.357,W,1,3,2,
08,32.800,N,059,59.143,W,1,3,2,
END
LINE_AGGREGATE

18,36.200,N,068,20.133,W,1,3,2,
18,37.400,N,068,18.867,W,1,3,2,
18,37.400,N,068,20.133,W,1,3,2,
18,36.200,N,068,18.867,W,1,3,2,
END
LINE_AGGREGATE

18,15.850,N,087,50.732,W,1,3,2,
