warning_id,navarea,state,source_warning_id,cancel_targets,last_updated_utc,plotted,plot_ref,issued_utc,state_reason,last_seen_in_cumulative_id,last_seen_in_cumulative_utc,omitted_by_cumulative_id,omitted_by_cumulative_utc
NAVAREA IV 873/2023,IV,ACTIVE,NAVAREA IV 873/2023,,2026-03-19T01:19:53Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011953Z.csv,,,,,,
NAVAREA IV 1377/2023,IV,ACTIVE,NAVAREA IV 1377/2023,,2026-03-19T01:19:53Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011953Z.csv,,,,,,
NAVAREA IV 1403/2023,IV,ACTIVE,NAVAREA IV 1403/2023,,2026-03-19T01:19:53Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011953Z.csv,,,,,,
NAVAREA IV 1404/2023,IV,ACTIVE,NAVAREA IV 1404/2023,,2026-03-19T01:19:53Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011953Z.csv,,,,,,
NAVAREA IV 012/2024,IV,ACTIVE,NAVAREA IV 012/2024,,2026-03-19T01:19:54Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011954Z.csv,,,,,,
NAVAREA IV 151/2024,IV,ACTIVE,NAVAREA IV 151/2024,,2026-03-19T01:19:54Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011954Z.csv,,,,,,
NAVAREA IV 161/2024,IV,ACTIVE,NAVAREA IV 161/2024,,2026-03-19T01:19:54Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011954Z.csv,,,,,,
NAVAREA IV 177/2024,IV,ACTIVE,NAVAREA IV 177/2024,,2026-03-19T01:19:54Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011954Z.csv,,,,,,
NAVAREA IV 214/2024,IV,ACTIVE,NAVAREA IV 214/2024,,2026-03-19T01:19:54Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011954Z.csv,,,,,,
NAVAREA IV 325/2024,IV,ACTIVE,NAVAREA IV 325/2024,,2026-03-19T01:19:54Z,YES,D:\NAVSYS_USB\NAVWARN\plots\jrc_userchart_20260319_011954Z.csv,,,,,,
