LINE_AGGREGATE
10,21.940,N,060,36.280,W,1,2,2,
10,22.460,N,060,36.160,W,1,2,2,
10,22.430,N,060,36.020,W,1,2,2,
10,21.900,N,060,36.150,W,1,2,2,
10,00.040,N,060,18.810,W,1,2,2,
10,00.130,N,060,18.700,W,1,2,2,
09,59.680,N,060,18.380,W,1,2,2,
09,59.610,N,060,18.490,W,1,2,2,
END
LINE_AGGREGATE
21,36.000,N,085,58.500,W,1,2,3,
17,48.000,N,082,39.200,W,1,2,3,
31,57.000,N,077,01.000,W,1,2,3,
32,23.000,N,076,52.000,W,1,2,3,
33,08.000,N,075,40.000,W,1,2,3,
33,28.000,N,074,58.000,W,1,2,3,
33,19.000,N,074,46.000,W,1,2,3,
32,36.000,N,075,02.000,W,1,2,3,
31,51.000,N,076,13.000,W,1,2,3,
31,41.000,N,076,43.000,W,1,2,3,
28,39.690,N,080,38.170,W,1,2,3,
28,55.000,N,080,20.000,W,1,2,3,
28,46.000,N,080,09.000,W,1,2,3,
28,28.660,N,080,32.150,W,1,2,3,
21,36.000,N,085,58.500,W,1,2,3,
END
LINE_AGGREGATE
27,10.400,N,090,22.000,W,1,2,2,
END
LINE_AGGREGATE
27,11.700,N,090,01.600,W,1,2,2,
END
LINE_AGGREGATE
27,10.400,N,090,22.000,W,1,2,2,
END
LINE_AGGREGATE
27,11.700,N,090,01.600,W,1,2,2,
END
LINE_AGGREGATE
46,47.200,N,048,00.800,W,1,2,2,
END
LINE_AGGREGATE
10,21.940,N,060,36.280,W,1,2,2,
END
LINE_AGGREGATE
14,35.000,N,061,47.360,W,1,2,2,
END
LINE_AGGREGATE
14,35.000,N,061,47.360,W,1,2,2,
END
LINE_AGGREGATE
14,35.000,N,061,47.360,W,1,2,2,
END
LINE_AGGREGATE
14,35.000,N,061,47.360,W,1,2,2,
END
LINE_AGGREGATE
14,35.000,N,061,47.360,W,1,2,2,
END
LINE_AGGREGATE
11,25.350,N,058,38.440,W,1,2,2,
11,03.420,N,057,58.820,W,1,2,2,
10,59.290,N,057,17.230,W,1,2,2,
10,54.540,N,057,17.230,W,1,2,2,
10,18.830,N,058,42.890,W,1,2,2,
10,22.990,N,058,43.730,W,1,2,2,
11,16.060,N,058,43.760,W,1,2,2,
END
LINE_AGGREGATE
11,25.350,N,058,38.440,W,1,2,2,
11,03.420,N,057,58.820,W,1,2,2,
10,59.290,N,057,17.230,W,1,2,2,
10,54.540,N,057,17.230,W,1,2,2,
10,18.830,N,058,42.890,W,1,2,2,
10,22.990,N,058,43.730,W,1,2,2,
11,16.060,N,058,43.760,W,1,2,2,
END
LINE_AGGREGATE
11,25.350,N,058,38.440,W,1,2,2,
11,03.420,N,057,58.820,W,1,2,2,
10,59.290,N,057,17.230,W,1,2,2,
10,54.540,N,057,17.230,W,1,2,2,
10,18.830,N,058,42.890,W,1,2,2,
10,22.990,N,058,43.730,W,1,2,2,
11,16.060,N,058,43.760,W,1,2,2,
END
LINE_AGGREGATE
11,25.350,N,058,38.440,W,1,2,2,
11,03.420,N,057,58.820,W,1,2,2,
10,59.290,N,057,17.230,W,1,2,2,
10,54.540,N,057,17.230,W,1,2,2,
10,18.830,N,058,42.890,W,1,2,2,
10,22.990,N,058,43.730,W,1,2,2,
11,16.060,N,058,43.760,W,1,2,2,
END
LINE_AGGREGATE
11,25.350,N,058,38.440,W,1,2,2,
11,03.420,N,057,58.820,W,1,2,2,
10,59.290,N,057,17.230,W,1,2,2,
10,54.540,N,057,17.230,W,1,2,2,
10,18.830,N,058,42.890,W,1,2,2,
10,22.990,N,058,43.730,W,1,2,2,
